Package name,Reviewer name,Review,Rating
com.cvent.mobile.eventapp,Tae Jones,Keeps saying that there was a problem and to task the event host to sign me up for the session. Not a single event added.,1
com.cvent.mobile.eventapp,Christopher Farris,Worked but worked slowly,3
com.cvent.mobile.eventapp,NandB Tiscione,So slow it is virtually worthless,1
com.cvent.mobile.eventapp,Dana Greely,"As both a CVENT planet and also a user if this app at other conferences, this app is complete garbage. Move back to crowd compass. This app can't do half the things crowd compass could and it is constantly frozen and giving mis information.",1
com.cvent.mobile.eventapp,Alla Tash,"Terrible app, impossibly slow, can't add things to the schedule because every click takes entirely too long, sometimes minutes!",1
com.cvent.mobile.eventapp,Paul Hadidon,Won't download 2022 Generac Annual Conference on S21 android 12. When I download all I get is a white screen and app locks up.,1
com.cvent.mobile.eventapp,Thomas Hodges,Probably the most helpful app I have ever used to navigate an event.,5
com.cvent.mobile.eventapp,Kim Bending,Easy to use app,5
com.cvent.mobile.eventapp,Zachary Nathaniel,This app is a joke it closed the event In and won't open it again,1
com.cvent.mobile.eventapp,Jeremy Byrne,Says I'm offline even though I'm not. Can't look up my event. Unusable.,1
com.cvent.mobile.eventapp,Marty Jeane,The TCA app doesn't open. I cannot get access to any of the programs.,1
com.cvent.mobile.eventapp,Russ Carney,App is very slow to load. Better to just write down schedule and sessions with paper and pencil.,1
com.cvent.mobile.eventapp,Dino Lustri,Constantly says I'm disconnected from data.,1
com.cvent.mobile.eventapp,Jon Grimm,"Garbage app, ive re-download multiple times and still keep getting an error message that im offline.",1
com.cvent.mobile.eventapp,Kim Hunt-Thornhill,Game feature does not work,1
com.cvent.mobile.eventapp,Dorothy Matteo,Absolutely had a problem installing on my Mac & Android.,1
com.cvent.mobile.eventapp,Carrie Carlson,Does not work well,1
com.cvent.mobile.eventapp,Howard Perry,Their product is the latest technology helps the project manager/planner make the conference event a success. God Bless,4
com.cvent.mobile.eventapp,Stephen Gray,"Downloaded twice, both times said I had no service. I guess 4g and 5 bars isn't enough. Shame needed it for a conference. Better luck next time.",1
com.cvent.mobile.eventapp,Adrienne Chafee,Tried to download it... stayed in Pending status for over 15 minutes and download never started. Gave up.,1
com.cvent.mobile.eventapp,Jeorge Zepeda,"Good, but needs improvement",4
com.cvent.mobile.eventapp,Ashish Sharma,Awesome experience with the new App.,5
com.cvent.mobile.eventapp,John Roling,Easy to use!,5
com.eventbrite.attendee,charan basireddy,Good to see apps like these,4
com.eventbrite.attendee,Shir Carson,"Amazing App User-friendly, easily maneuvering around. I like that the AI connects you to options that you may like or throw something at you that you never thought of. I like that someone else may not. Also like that it is pay accessible and takes most major payment forms",5
com.eventbrite.attendee,Temilade Oti,Nice,5
com.eventbrite.attendee,Anthony Gandara,Great app with tons of awesome events,5
com.eventbrite.attendee,Terri Goldberg,Difficult to find specific event on site.,3
com.eventbrite.attendee,Jennifer Beauchesne,This is a great app for networking and/or events in your area or other locations.,5
com.eventbrite.attendee,R Y,Lots of wonderful free to join events.,5
com.eventbrite.attendee,fredrick bradley,Great,5
com.eventbrite.attendee,VICTORIA STONE,"This app is terrible. Type in your topic, interest or word of interest for a group and everything but what you want comes up even groups in America! I don't understand why the NHS advised me to use this app to educate myself on becoming a new mum. There is nothing that applies to parenting.",1
com.eventbrite.attendee,Cheryl Carey,"Like to use it for book club events, also art tours and also looking for comedy.",5
com.eventbrite.attendee,beena masroor,My experience is great so far and gives me lots of opportunities to have fun with my family,5
com.eventbrite.attendee,Steven Tringali,"Convenient, easy to use",5
com.eventbrite.attendee,R H,Not very good app for searching. Why can't I filter out events that are full or closed to purchasing? Then when I look at an event and come back out takes me to the top of the list and I have to scroll through them all again! Also I had an event cancel with zero explanation - but at least I got my money back.,2
com.eventbrite.attendee,Kimberly Gordacan,Easy tickets,5
com.eventbrite.attendee,Marquee NY,Wonderful connection to be social every now and again you ' may gracefully find marquee new yorks big 🍎 bite journalist socially lite happening about the events briteness 💫,4
com.eventbrite.attendee,Robert Clayton,"No link provided for joining the March 23 ,Brain event, even though I have a ticket.",2
com.eventbrite.attendee,Face,No complaints,5
com.eventbrite.attendee,James Preztak,Some events don't show a location like the charity event for the walk and run in the park with other people,4
com.eventbrite.attendee,Alan Aperlo,Great job.,5
com.eventbrite.attendee,Melissa Killion,I loved this app until they removed the map function. I assume this was to force me to look at stuff that I didn't care about and often involve crossing the Pacific ocean or a national border. Now I use it when an event I find somewhere else directs me here.,2
com.eventbrite.attendee,Sanjay Thapa,It is doing what it says,4
com.eventbrite.attendee,Natalie Dodd,"The Eventbrite App is helpful. I have attended, both online and in person, a number of Events and have always been impressed. I'm always keen to see what's coming along next.",5
com.eventbrite.attendee,Rossana Sarra,"Does not load any event,!!!!",1
com.eventbrite.attendee,Edel Sludds,Quick and easy,5
com.eventbrite.attendee,Eric Sim,Good app,3
