Package name,Reviewer name,Review,Rating
ru.iiec.jvdroid,Sukanya Das,Please add some advance java features in it. It would be helpful,3
ru.iiec.jvdroid,Technisha Circuit,"It's decent, but it'd be useful to have Gradle support and to upgrade the Java version, Termux actually has a working version of Java 17 running so maybe look at that?",4
ru.iiec.jvdroid,Pranita Pathade,Nice,5
ru.iiec.jvdroid,Brajesh Mohanty,Good app but lots of add :),5
ru.iiec.jvdroid,Montreal YT,"This app is very useful and handy, so I offer 5 star for helping me out.",5
ru.iiec.jvdroid,Shardul Dwivedi,Upgrade your app it even can't run scanner class Bad 😔 experience,1
ru.iiec.jvdroid,Yalla Balaji,Yeah it's Really a offline compiler,5
ru.iiec.jvdroid,UPENDRA KAMILA,Good,5
ru.iiec.jvdroid,Everythings Special,Perfect,5
ru.iiec.jvdroid,Roy Vincent Donila,"I can't open my previous java file. I can't save my new file, and if I run a simple hello world output code, there's a message: compiler output: connection refused.",2
ru.iiec.jvdroid,Muniir Hassan,Is the best app working #teamjvdroid thanks,5
ru.iiec.jvdroid,Jaddua Jones,"Great app for coding while on the go before finishing on a computer. I am stumped on one thing though, how can I make java projects? Like a project in eclipse for example.",4
ru.iiec.jvdroid,Gayathri G,It is a good app We can know errors line by line and it is easy to use this app Incredible app,5
ru.iiec.jvdroid,Jose Andres Roy Vallo,It's so nice,5
ru.iiec.jvdroid,Sohel Mulla,Best,5
ru.iiec.jvdroid,Nayan Sonkar,"Best Android IDE for java programming. You can run basic programs directly from Home screen. And also you can try terminal for advanced programming using packages, interface and inheritance.",5
ru.iiec.jvdroid,Massimo Ilinca,"Hi, I am using a keyboard, is there a way to use shortcuts such as sysout? Thankyou",4
ru.iiec.jvdroid,Kirla Shanmuk,It is awesome app .it's working super without ads superb,5
ru.iiec.jvdroid,YOVO Brothers,Nice but we want some bluej features like without main method program run,1
ru.iiec.jvdroid,Dhakshayini S,It helps me a lot. Thank u for this app,5
ru.iiec.jvdroid,Nandini Chauhan,Amazing app. But you can't developm a whole software in phone.😂 Beginner friendly best way to start.,5
ru.iiec.jvdroid,Lucky Akter,"This is an ideal IDE for mobile java developers , so good 👍",5
ru.iiec.jvdroid,Abdulrheem ALshabi,V Good,5
ru.iiec.jvdroid,Ammar Amara,Good,5
ru.iiec.jvdroid,Stephen Parry,"As a tool for editing and building apps for console or later use on desktop, this is a good IDE, but there a number of areas that concern me: - support. I tried three times to get a response from the developers, via various routes, and got nothing. - Android is famous for no up to date JRE. What is this using? How do provide to end users? - Swing. What ever runtime environment they are using, it tries to execute swing based apps - but in my case throws a libfreetype.so missing error.",2
ru.iiec.jvdroid,Faheem __ zikra,This app is good . But sometimes if we write something in a different line the curser get moved to any other line that thing frustrated me many more time .,1
ru.iiec.jvdroid,Shakuni Mama,Please build java debugger,3
ru.iiec.jvdroid,Louie Salvador,"The best Java IDE for Android! Nothing beats it. The PC feel of the UI, the simplicity, it's perfection.",5
ru.iiec.jvdroid,Deepak Bongane Patil,VERY GREAT APP...NO NEED OF USE BIG AND HEAVY LAPTOP....IIEC TEAM.......YOU ARE BRILLIANT...JOB,5
ru.iiec.jvdroid,Kajal Pal,"The new LTS version of Java is now released. Please upgrade to Java 17. Many new features, such as enhanced-switch, text blocks, records, etc. can't be used. And please also include dark theme like Pydroid 3 and Cxxdroid.",4
ru.iiec.jvdroid,Ingvar Nyland,"Первое впечатление: по сравнению с двумя другими редакторами этот лучше. Ничего лишнего, есть нужные настройки кастомизации интерфейса.",4
ru.iiec.jvdroid,Jock Soe,"I am teaching myself Java on my tablet with this app. (Getting close to the 1Z0-819.) I use the MessageEase input “keyboard”, so it is nice that the special character bar can be hidden. The only limitation I have found is in trying to set up a project (to work with inheritance, et.al). I simply cannot make heads or tails of the mess that it creates, such as: how to import a package, or what to do with the labarynthine file structure which it starts with and complicates at a drop of a hat.",5
ru.iiec.jvdroid,Varshit Gupta,Perfect,5
ru.iiec.jvdroid,Sourabh,Nice app. Helped a lot,1
ru.iiec.jvdroid,Yash Vardhan singh 8 A,I like this app but it's keyboard goes back at any time.,3
ru.iiec.jvdroid,Danish Raza,This apk is best for java programs. I doesn't find any other app like this one. This best 👍🤩,5
ru.iiec.jvdroid,Sampath Rakesh,Absolutely best Java compiler for Android devices,5
ru.iiec.jvdroid,Victor Washel,The best💥,5
ru.iiec.jvdroid,Sabyasachi Sahu 9A 6086,It is very helpful for me as a student,5
ru.iiec.jvdroid,Andrew Makaula,"I Iike the app and you deserve 5 stars but the problem I have figured out is that once the app is inactive for more than 10 minutes, the data gets deleted and if you haven't saved then you are screwed",5
ru.iiec.jvdroid,Akira,I have no issues so far What an outstanding app. 👌,5
